,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,-5.0
2011-07-20,-855.0
2011-07-21,-1160.0
2011-07-22,-1160.0
2011-07-25,-1160.0
2011-07-26,-1165.0
2011-07-27,-765.0
2011-07-28,280.0
2011-07-29,280.0
2011-08-01,280.0
2011-08-02,275.0
2011-08-03,1675.0
2011-08-04,1520.0
2011-08-05,1520.0
2011-08-08,1520.0
2011-08-09,1515.0
2011-08-10,-3285.0
2011-08-11,65.0
2011-08-12,-1040.0
2011-08-15,-1040.0
2011-08-16,-1040.0
2011-08-17,-1045.0
2011-08-18,5.0
2011-08-19,5455.0
2011-08-22,7400.0
2011-08-23,7400.0
2011-08-24,7395.0
2011-08-25,6645.0
2011-08-26,7845.0
2011-08-29,7090.0
2011-08-30,7090.0
2011-08-31,7090.0
2011-09-01,7085.0
2011-09-02,7585.0
2011-09-06,9930.0
2011-09-07,9930.0
2011-09-08,9930.0
2011-09-09,9925.0
2011-09-12,13875.0
2011-09-13,13620.0
2011-09-14,13620.0
2011-09-15,13620.0
2011-09-16,13615.0
2011-09-19,12465.0
2011-09-20,14110.0
2011-09-21,14110.0
2011-09-22,14110.0
2011-09-23,14105.0
2011-09-26,14205.0
2011-09-27,13300.0
2011-09-28,13300.0
2011-09-29,13295.0
2011-09-30,12745.0
2011-10-03,14595.0
2011-10-04,16490.0
2011-10-05,16490.0
2011-10-06,16485.0
2011-10-07,16135.0
2011-10-11,14485.0
2011-10-12,14430.0
2011-10-13,14430.0
2011-10-14,14425.0
2011-10-17,13025.0
2011-10-18,15125.0
2011-10-19,14070.0
2011-10-20,14070.0
2011-10-21,14070.0
2011-10-24,14065.0
2011-10-25,12915.0
2011-10-26,14315.0
2011-10-27,13260.0
2011-10-28,13260.0
2011-10-31,13255.0
2011-11-01,15905.0
2011-11-02,18950.0
2011-11-03,18950.0
2011-11-04,18945.0
2011-11-07,19540.0
2011-11-08,19535.0
2011-11-09,18135.0
2011-11-10,23230.0
2011-11-14,23230.0
2011-11-15,23230.0
2011-11-16,23225.0
2011-11-17,25175.0
2011-11-18,26270.0
2011-11-21,26270.0
2011-11-22,26270.0
2011-11-23,26265.0
2011-11-25,27565.0
2011-11-28,28465.0
2011-11-29,25960.0
2011-11-30,25960.0
2011-12-01,25955.0
2011-12-02,25505.0
2011-12-05,25400.0
2011-12-06,25400.0
2011-12-07,25400.0
2011-12-08,25395.0
2011-12-09,26945.0
2011-12-12,23990.0
2011-12-13,23990.0
2011-12-14,23990.0
2011-12-15,23985.0
2011-12-16,23235.0
2011-12-19,22985.0
2011-12-20,22480.0
2011-12-21,22480.0
2011-12-22,22480.0
2011-12-23,22475.0
2011-12-27,22720.0
2011-12-28,22720.0
2011-12-29,22720.0
2011-12-30,22715.0
2012-01-03,23115.0
2012-01-04,22160.0
2012-01-05,22160.0
2012-01-06,22160.0
2012-01-09,22160.0
2012-01-10,22160.0
2012-01-11,22160.0
2012-01-12,22160.0
2012-01-13,22160.0
2012-01-17,22160.0
2012-01-18,22160.0
2012-01-19,22160.0
2012-01-20,22160.0
2012-01-23,22160.0
2012-01-24,22160.0
2012-01-25,22160.0
2012-01-26,22160.0
2012-01-27,22160.0
2012-01-30,22160.0
2012-01-31,22160.0
2012-02-01,22160.0
2012-02-02,22160.0
2012-02-03,22160.0
2012-02-06,22160.0
2012-02-07,22160.0
2012-02-08,22160.0
2012-02-09,22160.0
2012-02-10,22160.0
2012-02-13,22160.0
2012-02-14,22160.0
2012-02-15,22160.0
2012-02-16,22160.0
2012-02-17,22160.0
2012-02-21,22160.0
2012-02-22,22155.0
2012-02-23,21405.0
2012-02-24,19850.0
2012-02-27,19850.0
2012-02-28,19850.0
2012-02-29,19850.0
2012-03-01,19850.0
2012-03-02,19850.0
2012-03-05,19845.0
2012-03-06,19640.0
2012-03-07,19640.0
2012-03-08,19640.0
2012-03-09,19635.0
2012-03-12,18985.0
2012-03-13,17685.0
2012-03-14,16930.0
2012-03-15,16930.0
