,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,-5.0
2011-06-22,-310.0
2011-06-23,-310.0
2011-06-24,-315.0
2011-06-27,280.0
2011-06-28,280.0
2011-06-29,275.0
2011-06-30,-325.0
2011-07-01,-1080.0
2011-07-05,-1080.0
2011-07-06,-1080.0
2011-07-07,-1080.0
2011-07-08,-1080.0
2011-07-11,-1085.0
2011-07-12,-140.0
2011-07-13,-145.0
2011-07-14,-45.0
2011-07-15,400.0
2011-07-18,395.0
2011-07-19,945.0
2011-07-20,90.0
2011-07-21,90.0
2011-07-22,85.0
2011-07-25,-20.0
2011-07-26,-20.0
2011-07-27,-25.0
2011-07-28,1020.0
2011-07-29,1020.0
2011-08-01,1015.0
2011-08-02,515.0
2011-08-03,1910.0
2011-08-04,1905.0
2011-08-05,5955.0
2011-08-08,6250.0
2011-08-09,6245.0
2011-08-10,1445.0
2011-08-11,4790.0
2011-08-12,4790.0
2011-08-15,4785.0
2011-08-16,3635.0
2011-08-17,3830.0
2011-08-18,3830.0
2011-08-19,3825.0
2011-08-22,5770.0
2011-08-23,5765.0
2011-08-24,3615.0
2011-08-25,2860.0
2011-08-26,2860.0
2011-08-29,2860.0
2011-08-30,2855.0
2011-08-31,3705.0
2011-09-01,2850.0
2011-09-02,2850.0
2011-09-06,2850.0
2011-09-07,2850.0
2011-09-08,2845.0
2011-09-09,3895.0
2011-09-12,7840.0
2011-09-13,7835.0
2011-09-14,7385.0
2011-09-15,5280.0
2011-09-16,5280.0
2011-09-19,5275.0
2011-09-20,6925.0
2011-09-21,6660.0
2011-09-22,6655.0
2011-09-23,8255.0
2011-09-26,8350.0
2011-09-27,8345.0
2011-09-28,7995.0
2011-09-29,9490.0
2011-09-30,9485.0
2011-10-03,11335.0
2011-10-04,13235.0
2011-10-05,11730.0
2011-10-06,11725.0
2011-10-07,11375.0
2011-10-11,9720.0
2011-10-12,9715.0
2011-10-13,8210.0
2011-10-14,8210.0
2011-10-17,8205.0
2011-10-18,10300.0
2011-10-19,10300.0
2011-10-20,10295.0
2011-10-21,10295.0
2011-10-24,8740.0
2011-10-25,8735.0
2011-10-26,10130.0
2011-10-27,10130.0
2011-10-28,10125.0
2011-10-31,9870.0
2011-11-01,9870.0
2011-11-02,9865.0
2011-11-03,9015.0
2011-11-04,7860.0
2011-11-07,7860.0
2011-11-08,7855.0
2011-11-09,6455.0
2011-11-10,11550.0
2011-11-14,11550.0
2011-11-15,11545.0
2011-11-16,11490.0
2011-11-17,11490.0
2011-11-18,11485.0
2011-11-21,10085.0
2011-11-22,10680.0
2011-11-23,10680.0
2011-11-25,10675.0
2011-11-28,11570.0
2011-11-29,11565.0
2011-11-30,10915.0
2011-12-01,7910.0
2011-12-02,7905.0
2011-12-05,7800.0
2011-12-06,7800.0
2011-12-07,7800.0
2011-12-08,7800.0
2011-12-09,7800.0
2011-12-12,7795.0
2011-12-13,8195.0
2011-12-14,7690.0
2011-12-15,7685.0
2011-12-16,6935.0
2011-12-19,6680.0
2011-12-20,6680.0
2011-12-21,6675.0
2011-12-22,5070.0
2011-12-23,5070.0
2011-12-27,5070.0
2011-12-28,5070.0
2011-12-29,5070.0
2011-12-30,5070.0
2012-01-03,5065.0
2012-01-04,4115.0
2012-01-05,3660.0
2012-01-06,3655.0
2012-01-09,3200.0
2012-01-10,3200.0
2012-01-11,3200.0
2012-01-12,3200.0
2012-01-13,3200.0
2012-01-17,3195.0
2012-01-18,3090.0
2012-01-19,3090.0
2012-01-20,3085.0
2012-01-23,2580.0
2012-01-24,2580.0
2012-01-25,2580.0
2012-01-26,2580.0
2012-01-27,2580.0
2012-01-30,2580.0
2012-01-31,2580.0
2012-02-01,2580.0
2012-02-02,2580.0
2012-02-03,2580.0
2012-02-06,2580.0
2012-02-07,2580.0
2012-02-08,2580.0
2012-02-09,2580.0
2012-02-10,2580.0
2012-02-13,2575.0
2012-02-14,925.0
2012-02-15,1470.0
2012-02-16,1465.0
2012-02-17,15.0
2012-02-21,-185.0
2012-02-22,-240.0
2012-02-23,-240.0
2012-02-24,-245.0
2012-02-27,705.0
2012-02-28,1050.0
2012-02-29,1045.0
2012-03-01,1195.0
2012-03-02,240.0
2012-03-05,235.0
2012-03-06,35.0
2012-03-07,2380.0
2012-03-08,2375.0
2012-03-09,1425.0
2012-03-12,770.0
2012-03-13,770.0
2012-03-14,765.0
2012-03-15,1565.0
