,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,-5.0
2011-07-21,-305.0
2011-07-22,-1310.0
2011-07-25,-1315.0
2011-07-26,-920.0
2011-07-27,-920.0
2011-07-28,-920.0
2011-07-29,-920.0
2011-08-01,-920.0
2011-08-02,-920.0
2011-08-03,-925.0
2011-08-04,-1075.0
2011-08-05,2970.0
2011-08-08,2965.0
2011-08-09,6965.0
2011-08-10,2160.0
2011-08-11,2155.0
2011-08-12,1050.0
2011-08-15,1050.0
2011-08-16,1050.0
2011-08-17,1050.0
2011-08-18,1045.0
2011-08-19,6495.0
2011-08-22,8445.0
2011-08-23,9540.0
2011-08-24,9540.0
2011-08-25,9540.0
2011-08-26,9535.0
2011-08-29,8785.0
2011-08-30,6435.0
2011-08-31,7280.0
2011-09-01,7280.0
2011-09-02,7275.0
2011-09-06,9625.0
2011-09-07,10875.0
2011-09-08,8670.0
2011-09-09,8670.0
2011-09-12,8670.0
2011-09-13,8665.0
2011-09-14,8215.0
2011-09-15,6115.0
2011-09-16,3560.0
2011-09-19,3555.0
2011-09-20,5205.0
2011-09-21,4945.0
2011-09-22,6290.0
2011-09-23,6290.0
2011-09-26,6290.0
2011-09-27,6285.0
2011-09-28,5935.0
2011-09-29,7430.0
2011-09-30,7430.0
2011-10-03,7430.0
2011-10-04,7425.0
2011-10-05,5925.0
2011-10-06,4825.0
2011-10-07,4470.0
2011-10-11,4465.0
2011-10-12,4415.0
2011-10-13,2915.0
2011-10-14,2665.0
2011-10-17,1260.0
2011-10-18,1260.0
2011-10-19,1260.0
2011-10-20,1255.0
2011-10-21,1255.0
2011-10-24,-295.0
2011-10-25,-1445.0
2011-10-26,-50.0
2011-10-27,-50.0
2011-10-28,-50.0
2011-10-31,-50.0
2011-11-01,-55.0
2011-11-02,2995.0
2011-11-03,2145.0
2011-11-04,990.0
2011-11-07,985.0
2011-11-08,880.0
2011-11-09,880.0
2011-11-10,875.0
2011-11-14,-2375.0
2011-11-15,-1830.0
2011-11-16,-1830.0
2011-11-17,-1835.0
2011-11-18,-735.0
2011-11-21,-2140.0
2011-11-22,-2140.0
2011-11-23,-2140.0
2011-11-25,-2145.0
2011-11-28,-1245.0
2011-11-29,-3745.0
2011-11-30,-4400.0
2011-12-01,-4400.0
2011-12-02,-4400.0
2011-12-05,-4405.0
2011-12-06,-4405.0
2011-12-07,-4110.0
2011-12-08,-4110.0
2011-12-09,-4110.0
2011-12-12,-4110.0
2011-12-13,-4115.0
2011-12-14,-4615.0
2011-12-15,-4615.0
2011-12-16,-5365.0
2011-12-19,-5615.0
2011-12-20,-6115.0
2011-12-21,-7925.0
2011-12-22,-9525.0
2011-12-23,-9375.0
2011-12-27,-9125.0
2011-12-28,-9375.0
2011-12-29,-8775.0
2011-12-30,-9230.0
2012-01-03,-9230.0
2012-01-04,-9230.0
2012-01-05,-9230.0
2012-01-06,-9235.0
2012-01-09,-9685.0
2012-01-10,-9835.0
2012-01-11,-10140.0
2012-01-12,-10140.0
2012-01-13,-10140.0
2012-01-17,-10140.0
2012-01-18,-10140.0
2012-01-19,-10145.0
2012-01-20,-10695.0
2012-01-23,-11195.0
2012-01-24,-11595.0
2012-01-25,-11850.0
2012-01-26,-11850.0
2012-01-27,-11850.0
2012-01-30,-11850.0
2012-01-31,-11855.0
2012-02-01,-11655.0
2012-02-02,-12360.0
2012-02-03,-12360.0
2012-02-06,-12360.0
2012-02-07,-12360.0
2012-02-08,-12360.0
2012-02-09,-12360.0
2012-02-10,-12360.0
2012-02-13,-12365.0
2012-02-14,-14020.0
2012-02-15,-14020.0
2012-02-16,-14025.0
2012-02-17,-15475.0
2012-02-21,-15675.0
2012-02-22,-15730.0
2012-02-23,-15730.0
2012-02-24,-15730.0
2012-02-27,-15735.0
2012-02-28,-15390.0
2012-02-29,-15390.0
2012-03-01,-15390.0
2012-03-02,-15395.0
2012-03-05,-15095.0
2012-03-06,-15295.0
2012-03-07,-12950.0
