,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,-5.0
2011-07-20,-860.0
2011-07-21,-865.0
2011-07-22,-1870.0
2011-07-25,-1870.0
2011-07-26,-1870.0
2011-07-27,-1870.0
2011-07-28,-1870.0
2011-07-29,-1870.0
2011-08-01,-1870.0
2011-08-02,-1870.0
2011-08-03,-1870.0
2011-08-04,-1870.0
2011-08-05,-1870.0
2011-08-08,-1875.0
2011-08-09,2120.0
2011-08-10,2115.0
2011-08-11,5460.0
2011-08-12,5455.0
2011-08-15,5650.0
2011-08-16,5645.0
2011-08-17,5840.0
2011-08-18,5835.0
2011-08-19,11280.0
2011-08-22,11275.0
2011-08-23,12370.0
2011-08-24,12365.0
2011-08-25,11610.0
2011-08-26,11605.0
2011-08-29,10850.0
2011-08-30,10845.0
2011-08-31,11690.0
2011-09-01,11685.0
2011-09-02,12180.0
2011-09-06,12175.0
2011-09-07,13420.0
2011-09-08,13415.0
2011-09-09,14460.0
2011-09-12,14455.0
2011-09-13,14200.0
2011-09-14,14195.0
2011-09-15,12090.0
2011-09-16,12085.0
2011-09-19,10930.0
2011-09-20,10930.0
2011-09-21,10930.0
2011-09-22,10930.0
2011-09-23,10930.0
2011-09-26,10930.0
2011-09-27,10930.0
2011-09-28,10930.0
2011-09-29,10930.0
2011-09-30,10930.0
2011-10-03,10930.0
2011-10-04,10930.0
2011-10-05,10930.0
2011-10-06,10930.0
2011-10-07,10930.0
2011-10-11,10930.0
2011-10-12,10930.0
2011-10-13,10930.0
2011-10-14,10930.0
2011-10-17,10930.0
2011-10-18,10930.0
2011-10-19,10930.0
2011-10-20,10930.0
2011-10-21,10930.0
2011-10-24,10930.0
2011-10-25,10925.0
2011-10-26,12320.0
2011-10-27,12315.0
2011-10-28,8910.0
2011-10-31,8910.0
2011-11-01,8910.0
2011-11-02,8910.0
2011-11-03,8910.0
2011-11-04,8910.0
2011-11-07,8910.0
2011-11-08,8905.0
2011-11-09,7500.0
2011-11-10,7495.0
2011-11-14,4240.0
2011-11-15,4235.0
2011-11-16,4180.0
2011-11-17,4175.0
2011-11-18,5270.0
2011-11-21,5265.0
2011-11-22,5865.0
2011-11-23,5215.0
2011-11-25,6515.0
2011-11-28,7415.0
2011-11-29,4915.0
2011-11-30,4265.0
2011-12-01,1265.0
2011-12-02,815.0
2011-12-05,710.0
2011-12-06,710.0
2011-12-07,710.0
2011-12-08,710.0
2011-12-09,710.0
2011-12-12,710.0
2011-12-13,710.0
2011-12-14,710.0
2011-12-15,710.0
2011-12-16,710.0
2011-12-19,710.0
2011-12-20,710.0
2011-12-21,710.0
2011-12-22,710.0
2011-12-23,710.0
2011-12-27,710.0
2011-12-28,710.0
2011-12-29,710.0
2011-12-30,710.0
2012-01-03,710.0
2012-01-04,710.0
2012-01-05,710.0
2012-01-06,710.0
2012-01-09,710.0
2012-01-10,710.0
2012-01-11,710.0
2012-01-12,710.0
2012-01-13,710.0
2012-01-17,710.0
2012-01-18,710.0
2012-01-19,710.0
2012-01-20,710.0
2012-01-23,710.0
2012-01-24,710.0
2012-01-25,710.0
2012-01-26,710.0
2012-01-27,710.0
2012-01-30,710.0
2012-01-31,710.0
2012-02-01,710.0
2012-02-02,710.0
2012-02-03,710.0
2012-02-06,710.0
2012-02-07,710.0
2012-02-08,710.0
2012-02-09,710.0
2012-02-10,710.0
2012-02-13,710.0
2012-02-14,710.0
2012-02-15,710.0
2012-02-16,710.0
2012-02-17,710.0
2012-02-21,710.0
2012-02-22,710.0
2012-02-23,710.0
2012-02-24,710.0
2012-02-27,710.0
2012-02-28,710.0
2012-02-29,710.0
2012-03-01,710.0
2012-03-02,710.0
2012-03-05,710.0
2012-03-06,710.0
2012-03-07,710.0
2012-03-08,710.0
2012-03-09,710.0
2012-03-12,710.0
2012-03-13,710.0
2012-03-14,710.0
2012-03-15,710.0
2012-03-16,710.0
2012-03-19,710.0
2012-03-20,710.0
2012-03-21,710.0
2012-03-22,710.0
2012-03-23,710.0
