,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,-3.0
2011-06-28,-690.5
2011-06-29,-1253.0
2011-06-30,-2003.0
2011-07-01,-2953.0
2011-07-05,-2856.0
2011-07-06,-2856.0
2011-07-07,-2856.0
2011-07-08,-2856.0
2011-07-11,-2856.0
2011-07-12,-2856.0
2011-07-13,-2856.0
2011-07-14,-2856.0
2011-07-15,-2856.0
2011-07-18,-2856.0
2011-07-19,-2856.0
2011-07-20,-2856.0
2011-07-21,-2856.0
2011-07-22,-2856.0
2011-07-25,-2856.0
2011-07-26,-2856.0
2011-07-27,-2856.0
2011-07-28,-2856.0
2011-07-29,-2856.0
2011-08-01,-2859.0
2011-08-02,-1409.0
2011-08-03,-1399.5
2011-08-04,-1402.5
2011-08-05,-1115.0
2011-08-08,2607.0
2011-08-09,2607.0
2011-08-10,2604.0
2011-08-11,-221.0
2011-08-12,229.0
2011-08-15,-1111.5
2011-08-16,-1114.5
2011-08-17,-917.5
2011-08-18,-917.5
2011-08-19,-920.5
2011-08-22,-1095.5
2011-08-23,-2545.5
2011-08-24,-3470.5
2011-08-25,-2408.0
2011-08-26,-3358.0
2011-08-29,-5058.0
2011-08-30,-5570.5
2011-08-31,-5683.0
2011-09-01,-4970.5
2011-09-02,-3470.5
2011-09-06,-2645.5
2011-09-07,-4420.5
2011-09-08,-4145.5
2011-09-09,-2408.0
2011-09-12,-2420.5
2011-09-13,-3383.0
2011-09-14,-4514.0
2011-09-15,-5126.5
2011-09-16,-5501.5
2011-09-19,-5117.0
2011-09-20,-5117.0
2011-09-21,-5117.0
2011-09-22,-5117.0
2011-09-23,-5117.0
2011-09-26,-5120.0
2011-09-27,-5973.0
2011-09-28,-5976.0
2011-09-29,-6001.0
2011-09-30,-5263.5
2011-10-03,-3591.5
2011-10-04,-3591.5
2011-10-05,-3591.5
2011-10-06,-3591.5
2011-10-07,-3594.5
2011-10-11,-5282.0
2011-10-12,-6194.5
2011-10-13,-5544.5
2011-10-14,-6535.0
2011-10-17,-6535.0
2011-10-18,-6535.0
2011-10-19,-6535.0
2011-10-20,-6538.0
2011-10-21,-7400.5
2011-10-24,-8363.0
2011-10-25,-7288.0
2011-10-26,-7950.5
2011-10-27,-10128.5
2011-10-28,-10128.5
2011-10-31,-10128.5
2011-11-01,-10128.5
2011-11-02,-10128.5
2011-11-03,-10128.5
2011-11-04,-10128.5
2011-11-07,-10131.5
2011-11-08,-10944.0
2011-11-09,-8659.5
2011-11-10,-8659.5
2011-11-14,-8659.5
2011-11-15,-8662.5
2011-11-16,-7662.5
2011-11-17,-6100.0
2011-11-18,-6387.5
2011-11-21,-5450.0
2011-11-22,-5025.0
2011-11-23,-4062.5
2011-11-25,-3362.5
2011-11-28,-4850.0
2011-11-29,-5562.5
2011-11-30,-7787.5
2011-12-01,-7875.0
2011-12-02,-7862.5
2011-12-05,-8262.5
2011-12-06,-8725.0
2011-12-07,-8878.0
2011-12-08,-8881.0
2011-12-09,-9746.5
2011-12-12,-9749.5
2011-12-13,-9174.5
2011-12-14,-8630.5
2011-12-15,-8843.0
2011-12-16,-8930.5
2011-12-19,-8193.0
2011-12-20,-10118.0
2011-12-21,-10180.5
2011-12-22,-10696.0
2011-12-23,-10699.0
2011-12-27,-10852.0
2011-12-28,-10855.0
2011-12-29,-11505.0
2011-12-30,-11355.0
2012-01-03,-12395.5
2012-01-04,-12395.5
2012-01-05,-12395.5
2012-01-06,-12395.5
2012-01-09,-12395.5
2012-01-10,-12395.5
2012-01-11,-12395.5
2012-01-12,-12395.5
2012-01-13,-12395.5
2012-01-17,-12395.5
2012-01-18,-12395.5
2012-01-19,-12395.5
2012-01-20,-12395.5
2012-01-23,-12395.5
2012-01-24,-12395.5
2012-01-25,-12395.5
2012-01-26,-12395.5
2012-01-27,-12395.5
2012-01-30,-12398.5
2012-01-31,-12511.0
2012-02-01,-13214.0
2012-02-02,-13214.0
2012-02-03,-13214.0
2012-02-06,-13214.0
2012-02-07,-13217.0
2012-02-08,-13270.0
2012-02-09,-13273.0
2012-02-10,-12748.0
2012-02-13,-13248.0
2012-02-14,-13123.0
2012-02-15,-12973.0
2012-02-16,-13701.0
2012-02-17,-13701.0
2012-02-21,-13701.0
2012-02-22,-13701.0
2012-02-23,-13701.0
2012-02-24,-13701.0
