,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,-3.0
2011-06-28,-690.5
2011-06-29,-1253.0
2011-06-30,-2003.0
2011-07-01,-2953.0
2011-07-05,-2856.0
2011-07-06,-2856.0
2011-07-07,-2856.0
2011-07-08,-2856.0
2011-07-11,-2856.0
2011-07-12,-2856.0
2011-07-13,-2856.0
2011-07-14,-2856.0
2011-07-15,-2856.0
2011-07-18,-2856.0
2011-07-19,-2856.0
2011-07-20,-2856.0
2011-07-21,-2856.0
2011-07-22,-2856.0
2011-07-25,-2856.0
2011-07-26,-2856.0
2011-07-27,-2856.0
2011-07-28,-2856.0
2011-07-29,-2856.0
2011-08-01,-2859.0
2011-08-02,-1409.0
2011-08-03,-1396.5
2011-08-04,1203.5
2011-08-05,1491.0
2011-08-08,5216.0
2011-08-09,3978.5
2011-08-10,5053.5
2011-08-11,2225.5
2011-08-12,2222.5
2011-08-15,882.0
2011-08-16,882.0
2011-08-17,882.0
2011-08-18,879.0
2011-08-19,1191.5
2011-08-22,1016.5
2011-08-23,-436.5
2011-08-24,-436.5
2011-08-25,-436.5
2011-08-26,-436.5
2011-08-29,-436.5
2011-08-30,-436.5
2011-08-31,-436.5
2011-09-01,-436.5
2011-09-02,-436.5
2011-09-06,-436.5
2011-09-07,-436.5
2011-09-08,-436.5
2011-09-09,-439.5
2011-09-12,-455.0
2011-09-13,-458.0
2011-09-14,-1592.0
2011-09-15,-1592.0
2011-09-16,-1592.0
2011-09-19,-1592.0
2011-09-20,-1592.0
2011-09-21,-1592.0
2011-09-22,-1592.0
2011-09-23,-1592.0
2011-09-26,-1595.0
2011-09-27,-2448.0
2011-09-28,-2451.0
2011-09-29,-2476.0
2011-09-30,-1738.5
2011-10-03,-63.5
2011-10-04,-13.5
2011-10-05,-1991.5
2011-10-06,-1991.5
2011-10-07,-1991.5
2011-10-11,-1991.5
2011-10-12,-1991.5
2011-10-13,-1991.5
2011-10-14,-1991.5
2011-10-17,-1991.5
2011-10-18,-1991.5
2011-10-19,-1991.5
2011-10-20,-1991.5
2011-10-21,-1991.5
2011-10-24,-1991.5
2011-10-25,-1991.5
2011-10-26,-1991.5
2011-10-27,-1991.5
2011-10-28,-1991.5
2011-10-31,-1991.5
2011-11-01,-1991.5
2011-11-02,-1991.5
2011-11-03,-1991.5
2011-11-04,-1991.5
2011-11-07,-1994.5
2011-11-08,-2810.0
2011-11-09,-2813.0
2011-11-10,-3353.5
2011-11-14,-3356.5
2011-11-15,-3806.5
2011-11-16,-2806.5
2011-11-17,-1244.0
2011-11-18,-1531.5
2011-11-21,-594.0
2011-11-22,-169.0
2011-11-23,793.5
2011-11-25,1493.5
2011-11-28,6.0
2011-11-29,-709.5
2011-11-30,-709.5
2011-12-01,-709.5
2011-12-02,-709.5
2011-12-05,-709.5
2011-12-06,-709.5
2011-12-07,-709.5
2011-12-08,-712.5
2011-12-09,-1578.0
2011-12-12,-1578.0
2011-12-13,-1578.0
2011-12-14,-1578.0
2011-12-15,-1578.0
2011-12-16,-1578.0
2011-12-19,-1578.0
2011-12-20,-1578.0
2011-12-21,-1578.0
2011-12-22,-1578.0
2011-12-23,-1578.0
2011-12-27,-1578.0
2011-12-28,-1578.0
2011-12-29,-1578.0
2011-12-30,-1578.0
2012-01-03,-1578.0
2012-01-04,-1578.0
2012-01-05,-1578.0
2012-01-06,-1578.0
2012-01-09,-1578.0
2012-01-10,-1578.0
2012-01-11,-1578.0
2012-01-12,-1578.0
2012-01-13,-1581.0
2012-01-17,-1846.5
2012-01-18,-1846.5
2012-01-19,-1846.5
2012-01-20,-1846.5
2012-01-23,-1846.5
2012-01-24,-1846.5
2012-01-25,-1846.5
2012-01-26,-1846.5
2012-01-27,-1846.5
2012-01-30,-1846.5
2012-01-31,-1846.5
2012-02-01,-1846.5
2012-02-02,-1846.5
2012-02-03,-1846.5
2012-02-06,-1846.5
2012-02-07,-1846.5
2012-02-08,-1846.5
2012-02-09,-1846.5
2012-02-10,-1846.5
2012-02-13,-1846.5
2012-02-14,-1846.5
2012-02-15,-1846.5
2012-02-16,-1846.5
2012-02-17,-1846.5
2012-02-21,-1846.5
2012-02-22,-1846.5
2012-02-23,-1846.5
2012-02-24,-1846.5
2012-02-27,-1846.5
2012-02-28,-1846.5
2012-02-29,-1846.5
