,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,-5.0
2011-06-24,-105.0
2011-06-27,490.0
2011-06-28,490.0
2011-06-29,490.0
2011-06-30,485.0
2011-07-01,-265.0
2011-07-05,-1115.0
2011-07-06,-1020.0
2011-07-07,-1020.0
2011-07-08,-1020.0
2011-07-11,-1020.0
2011-07-12,-1020.0
2011-07-13,-1020.0
2011-07-14,-1020.0
2011-07-15,-1020.0
2011-07-18,-1020.0
2011-07-19,-1025.0
2011-07-20,-1875.0
2011-07-21,-2175.0
2011-07-22,-3180.0
2011-07-25,-3185.0
2011-07-26,-2785.0
2011-07-27,-2385.0
2011-07-28,-1340.0
2011-07-29,-1340.0
2011-08-01,-1340.0
2011-08-02,-1345.0
2011-08-03,55.0
2011-08-04,-100.0
2011-08-05,-100.0
2011-08-08,-100.0
2011-08-09,-105.0
2011-08-10,-4905.0
2011-08-11,-1555.0
2011-08-12,-2660.0
2011-08-15,-2665.0
2011-08-16,-3815.0
2011-08-17,-3620.0
2011-08-18,-3620.0
2011-08-19,-3625.0
2011-08-22,-1680.0
2011-08-23,-1680.0
2011-08-24,-1680.0
2011-08-25,-1685.0
2011-08-26,-485.0
2011-08-29,-1235.0
2011-08-30,-3590.0
2011-08-31,-3590.0
2011-09-01,-3590.0
2011-09-02,-3595.0
2011-09-06,-1245.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,-5.0
2011-09-13,-255.0
2011-09-14,-710.0
2011-09-15,-710.0
2011-09-16,-710.0
2011-09-19,-715.0
2011-09-20,935.0
2011-09-21,675.0
2011-09-22,2020.0
2011-09-23,2020.0
2011-09-26,2015.0
2011-09-27,1115.0
2011-09-28,765.0
2011-09-29,2260.0
2011-09-30,2260.0
2011-10-03,2260.0
2011-10-04,2260.0
2011-10-05,2260.0
2011-10-06,2255.0
2011-10-07,1905.0
2011-10-11,255.0
2011-10-12,200.0
2011-10-13,200.0
2011-10-14,200.0
2011-10-17,195.0
2011-10-18,2295.0
2011-10-19,1245.0
2011-10-20,2840.0
2011-10-21,2840.0
2011-10-24,2840.0
2011-10-25,2835.0
2011-10-26,4235.0
2011-10-27,3180.0
2011-10-28,3180.0
2011-10-31,3180.0
2011-11-01,3175.0
2011-11-02,6225.0
2011-11-03,5375.0
2011-11-04,4220.0
2011-11-07,4220.0
2011-11-08,4215.0
2011-11-09,2815.0
2011-11-10,7915.0
2011-11-14,4660.0
2011-11-15,4660.0
2011-11-16,4660.0
2011-11-17,4655.0
2011-11-18,5755.0
2011-11-21,4350.0
2011-11-22,4350.0
2011-11-23,4350.0
2011-11-25,4345.0
2011-11-28,5245.0
2011-11-29,2740.0
2011-11-30,2740.0
2011-12-01,2740.0
2011-12-02,2735.0
2011-12-05,2635.0
2011-12-06,2630.0
2011-12-07,2630.0
2011-12-08,2630.0
2011-12-09,2625.0
2011-12-12,-325.0
2011-12-13,70.0
2011-12-14,70.0
2011-12-15,70.0
2011-12-16,65.0
2011-12-19,-190.0
2011-12-20,-190.0
2011-12-21,-195.0
2011-12-22,-1795.0
2011-12-23,-1645.0
2011-12-27,-1400.0
2011-12-28,-1400.0
2011-12-29,-1400.0
2011-12-30,-1400.0
2012-01-03,-1400.0
2012-01-04,-1400.0
2012-01-05,-1400.0
2012-01-06,-1400.0
2012-01-09,-1400.0
2012-01-10,-1400.0
2012-01-11,-1400.0
2012-01-12,-1400.0
2012-01-13,-1400.0
2012-01-17,-1400.0
2012-01-18,-1400.0
2012-01-19,-1400.0
2012-01-20,-1400.0
2012-01-23,-1405.0
2012-01-24,-1810.0
2012-01-25,-1810.0
2012-01-26,-1810.0
2012-01-27,-1815.0
2012-01-30,-2170.0
2012-01-31,-2170.0
2012-02-01,-2170.0
2012-02-02,-2170.0
2012-02-03,-2170.0
2012-02-06,-2170.0
2012-02-07,-2170.0
2012-02-08,-2170.0
2012-02-09,-2170.0
2012-02-10,-2170.0
2012-02-13,-2170.0
2012-02-14,-2175.0
2012-02-15,-1625.0
2012-02-16,175.0
2012-02-17,-1280.0
2012-02-21,-1280.0
2012-02-22,-1280.0
2012-02-23,-1280.0
2012-02-24,-1285.0
2012-02-27,-335.0
2012-02-28,15.0
2012-02-29,-690.0
2012-03-01,-690.0
2012-03-02,-695.0
2012-03-05,-400.0
2012-03-06,-400.0
2012-03-07,-400.0
